# Time-averaged data for fix myfixReac
# TimeStep f_4[1] f_4[2] f_4[3] f_4[4]
1854000 124 116 151 165
1855000 124 116 151 165
1856000 124 116 151 165.5
1857000 124 116 151 166.2
1858000 124 116 151 167.65
1859000 124 116 151 168
1860000 124 116 151 168
1861000 124 116 151 168
1862000 124 116 151.61 168
1863000 124 116 152 168.33
1864000 124 116 152 169
1865000 124 116 152 169.64
1866000 124 116 152 170
1867000 124 116.94 152 170
1868000 124 117 152 170.69
1869000 124.29 117 152 171
1870000 125 117 152 171
1871000 125 117 152 171
1872000 125 117 152 171
1873000 125 117 152 171
1874000 125 117 152 171
1875000 125 117 152 171
1876000 125 117 152 171
1877000 125.04 117 152 171
1878000 126 117 152 171
1879000 126 117 152 171
1880000 126 117 152 171
1881000 126 117 152 171.92
1882000 126 117 152 173
1883000 126 117 152 173
1884000 126.85 117 152 173.26
1885000 127 117 152 174
1886000 127 117 152 174
1887000 127 117 152 174
1888000 127 117 152 174
1889000 127 117 152 174.34
1890000 127.45 117 152 175
1891000 128.57 117 152 175.22
1892000 129 117.25 152 176.29
1893000 129 118 152 177
1894000 129 118 152 177
1895000 129 118 152 177.91
1896000 129 118 152 178
1897000 129 118 152 178
1898000 129 118 152 178
1899000 129 118 152 178
1900000 129 118.67 152.32 178
1901000 129 119 153 178
1902000 129.15 119 153 178
1903000 130 119 153 178.82
1904000 130 119 153 179
1905000 130 119 153 179
1906000 130 119 153 179
1907000 130 119 153 179
1908000 130 119 153 179
1909000 130 119 153 179
1910000 130 119 153 179
1911000 130.81 120 153 179
1912000 131 120 153 179
1913000 131 120 153 179
1914000 131.5 120 153 179
1915000 132 120 153 179
1916000 132 120 153 179.83
1917000 132 120 153 180.07
1918000 132 120 153 181
1919000 132 120 153 181
1920000 132 120 153 181
1921000 132 120 153 181
1922000 132 121.61 153 181
1923000 132 122 153 181
1924000 132 122 153.65 181
1925000 132 122 154 181
1926000 132 122 154 181
1927000 132 122 154 181
1928000 132 122 154 181
1929000 132 122 154 181
1930000 132 122 154 181
1931000 132 122 154 181
1932000 132 122 154 181.67
1933000 132 122 154.37 182
1934000 132 122 155 182
1935000 132 122 155 182
1936000 132 122 155 182.74
1937000 132 122 155 183
1938000 132 122 155 183
1939000 132 122 155 183
1940000 132 122 155 183
1941000 132.7 122 155 183
1942000 133.42 122 155 183
1943000 134 122 155 183
1944000 134 122 155.85 183
1945000 134 122 156 183
1946000 134 122 156 183
1947000 134 122 156.52 183
1948000 134 122.16 157 183
1949000 134 123 157 183
1950000 134 123 157.99 183
1951000 134 123 159 183.36
1952000 134 123 159 184.59
1953000 134 124.19 159 185
1954000 134 125 159 185
1955000 134.03 125 159 185
1956000 135 125 159 185
1957000 135 125 159.66 185
1958000 135 125 160.04 185
1959000 135.16 125 161 185
1960000 136 125 161 185
1961000 136 125 161 185
1962000 136 125 161 185
1963000 136 125 161 185
1964000 136 125 161 185.3
1965000 136 125 161 186
1966000 136 125.47 161 186
1967000 136 126 161 186
1968000 136 126 161 186
1969000 136 126 161 186
1970000 136 126 161 186
1971000 136 126 161 186
1972000 136 126 161 186
1973000 136 126 161.77 187.61
1974000 136 126 162 188.14
1975000 136 126 162 190
1976000 136 126 162 190
1977000 136 126 162 190
1978000 136 126 162 190
1979000 136 126 162 190
1980000 136 126 162 190
1981000 136 126 162 190
1982000 136 126 162 190.76
1983000 136 126 162 191
1984000 136.28 126 162 191
1985000 137.49 126 162 191
1986000 138 126 162 191
1987000 138 126 162 191
1988000 138 126 162 191
1989000 138 126 162 191
1990000 138 126 162.25 191
1991000 138 126 163 191
1992000 138 126 163 191
1993000 138 126 163 191
1994000 138 126 163 191
1995000 138 126 163 191.34
1996000 138.08 126 163 192
1997000 139 126 163 192.69
1998000 139 126.82 163 193
1999000 139 127 163 193
2000000 139 127 163 193.79
2001000 139 127 163 194
2002000 139 127 163 194
2003000 139.03 127 163 194
2004000 140 127 163 194
2005000 140 127 163 194
2006000 140 127 163 194
2007000 140 127 163 194
2008000 140 127 163 194
2009000 140 127 163.68 194.73
2010000 140 127 164 195
2011000 140 127 164 195
2012000 140 127 164 195
2013000 140 127 164 195
2014000 140 127 164 195
2015000 140 127 164 195
2016000 140 127 164 195
2017000 140 127 164 195
2018000 140 127 164 195
2019000 140 127 164 195
2020000 140 127 164 195
2021000 140 127 164 195
2022000 140 127 164 195
2023000 140 127 164 195
2024000 140 127 164 195
2025000 140 127 164 195
2026000 140 127.14 164 195.14
2027000 140 128 164 196
2028000 140 128 164 196
2029000 140 128 164 196
2030000 140 128 164 196
2031000 140 128 164 196
2032000 140 128 164 196
2033000 140 128 164 196
2034000 140 128 164 196
2035000 140 128 164 196
2036000 140 128 164 196
2037000 140 128 164 196
2038000 140 128 164 196
2039000 140 128 164 196
2040000 140 128 164 196.43
2041000 140 128 164 197
2042000 140 128 164 197
2043000 140 128 164 197
2044000 140 128 164 197
2045000 140 128 164 197.43
2046000 140 128 164 198.23
2047000 140 128 164 199
2048000 140 128 164 199
2049000 140 128 164 199
